ret(t-2),ret(t-1),ret(t),norm,kk
-1.60684,1.19547,1.0484,0.666879,
1.19547,1.0484,-4.09498,0.852341,
1.0484,-4.09498,0.130843,1.19622,
-4.09498,0.130843,3.80094,1.11796,
0.130843,3.80094,-0.7838,1.12646,
3.80094,-0.7838,-0.984366,1.14042,
-0.7838,-0.984366,0.326698,0.939101,
-0.984366,0.326698,0.3906,0.807448,
0.326698,0.3906,1.48352,0.62113,
0.3906,1.48352,0.131687,0.614637,
1.48352,0.131687,-1.7188,0.374229,
0.131687,-1.7188,1.97938,0.276069,
-1.7188,1.97938,-0.025355,0.276237,
1.97938,-0.025355,-0.699475,0.172766,
-0.025355,-0.699475,0.465625,0.109127,
-0.699475,0.465625,1.84918,0.120557,
0.465625,1.84918,-5.23004,0.124544,
1.84918,-5.23004,3.498,0.0737338,
-5.23004,3.498,-0.88,0.0737338,
3.498,-0.88,-0.899643,0.0735299,
-0.88,-0.899643,-1.48514,0.0727323,
-0.899643,-1.48514,1.21389,0.0705791,
-1.48514,1.21389,1.85558,0.0547761,
1.21389,1.85558,-0.611304,0.0547669,
1.85558,-0.611304,-21.2005,0.0549588,
-0.611304,-21.2005,3.78489,0.0695678,
-21.2005,3.78489,1.5013,0.0695678,
3.78489,1.5013,8.23128,0.0695678,
1.5013,8.23128,4.40706,0.0695651,
8.23128,4.40706,1.41615,0.0695651,
4.40706,1.41615,-2.02818,0.036154,
1.41615,-2.02818,0.345968,0.0986012,
-2.02818,0.345968,-1.13204,0.0901279,
0.345968,-1.13204,0.150995,0.0904658,
-1.13204,0.150995,-5.06065,0.103948,
0.150995,-5.06065,-7.24746,0.638674,
-5.06065,-7.24746,3.72399,1.10541,
-7.24746,3.72399,-2.76264,1.27017,
3.72399,-2.76264,-3.34455,1.20124,
-2.76264,-3.34455,1.61489,0.0833817,
-3.34455,1.61489,4.20662,0.0771687,
1.61489,4.20662,1.05696,0.0727365,
4.20662,1.05696,-0.408687,0.0727365,
1.05696,-0.408687,-0.774314,0.0702984,
-0.408687,-0.774314,-4.83206,0.101881,
-0.774314,-4.83206,-2.07746,0.103852,
-4.83206,-2.07746,-4.96881,0.103852,
-2.07746,-4.96881,-6.10698,0.193182,
-4.96881,-6.10698,0.760573,0.193182,
-6.10698,0.760573,7.91734,0.193179,
0.760573,7.91734,3.30891,0.193179,
7.91734,3.30891,0.764505,0.153883,
3.30891,0.764505,-2.1392,0.156516,
0.764505,-2.1392,-6.55021,0.260137,
-2.1392,-6.55021,2.30864,0.49056,
-6.55021,2.30864,-0.928073,0.486459,
2.30864,-0.928073,1.19141,0.458639,
-0.928073,1.19141,1.22863,0.568121,
1.19141,1.22863,-3.98024,0.594175,
1.22863,-3.98024,2.76795,0.353117,
-3.98024,2.76795,1.52171,0.379697,
2.76795,1.52171,-7.74131,0.379697,
1.52171,-7.74131,-1.53034,0.254079,
-7.74131,-1.53034,3.0968,0.269137,
-1.53034,3.0968,1.97309,0.375675,
3.0968,1.97309,-1.03102,0.432403,
1.97309,-1.03102,1.0868,0.430869,
-1.03102,1.0868,0.872366,0.452617,
1.0868,0.872366,-0.429189,0.46707,
0.872366,-0.429189,0.111476,0.410531,
-0.429189,0.111476,-0.114946,0.278043,
0.111476,-0.114946,-0.278468,0.278043,
-0.114946,-0.278468,2.12936,0.280352,
-0.278468,2.12936,2.50875,0.241636,
2.12936,2.50875,1.40643,0.328974,
2.50875,1.40643,-0.713068,0.328974,
1.40643,-0.713068,-0.483315,0.317177,
-0.713068,-0.483315,-0.719039,0.299161,
-0.483315,-0.719039,-2.09225,0.446768,
-0.719039,-2.09225,-0.885635,0.446729,
-2.09225,-0.885635,5.27232,0.512901,
-0.885635,5.27232,1.71394,0.572828,
5.27232,1.71394,-0.117215,0.590733,
1.71394,-0.117215,0.899942,0.590445,
-0.117215,0.899942,2.14673,0.41991,
0.899942,2.14673,5.9572,0.41991,
2.14673,5.9572,0.857275,0.41991,
5.9572,0.857275,5.1203,0.433379,
0.857275,5.1203,0.86475,0.530898,
5.1203,0.86475,-1.84097,1.24426,
0.86475,-1.84097,-1.89947,1.25272,
-1.84097,-1.89947,-0.350192,0.731197,
-1.89947,-0.350192,0.310348,0.616143,
-0.350192,0.310348,-0.243462,0.667426,
0.310348,-0.243462,1.91984,0.878674,
-0.243462,1.91984,0.814018,0.449192,
1.91984,0.814018,0.80781,0.415014,
0.814018,0.80781,0.916036,0.369865,
